host_response_time_within a day;host_response_time_within a few hours;host_response_time_within an hour;host_response_time_nan;property_type_Apartment;property_type_Barn;property_type_Bed and breakfast;property_type_Boat;property_type_Boutique hotel;property_type_Bungalow;property_type_Camper/RV;property_type_Chalet;property_type_Condominium;property_type_Guest suite;property_type_Guesthouse;property_type_Hotel;property_type_House;property_type_Loft;property_type_Other;property_type_Resort;property_type_Serviced apartment;property_type_Tiny house;property_type_Townhouse;property_type_Villa;property_type_nan;room_type_Private room;room_type_Shared room;room_type_nan;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;bed_type_nan;cancellation_policy_moderate;cancellation_policy_strict;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60;cancellation_policy_nan;host_since;host_response_rate;host_is_superhost;host_listings_count;host_total_listings_count;host_has_profile_pic;host_identity_verified;latitude;longitude;is_location_exact;bathrooms;accommodates;bedrooms;beds;square_feet;price;weekly_price;monthly_price;security_deposit;cleaning_fee;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;instant_bookable;is_business_travel_ready;require_guest_profile_picture;require_guest_phone_verification;avg_rating;amenities_TV;amenities_CableTV;amenities_Wifi;amenities_Airconditioning;amenities_Kitchen;amenities_Freeparkingonpremises;amenities_Heating;amenities_Washer;amenities_Dryer;amenities_Smokedetector;amenities_Carbonmonoxidedetector;amenities_Essentials;amenities_Shampoo;amenities_24-hourcheck-in;amenities_Hangers;amenities_Hairdryer;amenities_Iron;amenities_Laptopfriendlyworkspace;amenities_translationmissing:en.hosting_amenity_49;amenities_translationmissing:en.hosting_amenity_50;amenities_Hotwater;amenities_Bedlinens;amenities_Extrapillowsandblankets;amenities_Microwave;amenities_Coffeemaker;amenities_Refrigerator;amenities_Dishwasher;amenities_Dishesandsilverware;amenities_Cookingbasics;amenities_Oven;amenities_Stove;host_verifications_email;host_verifications_phone;host_verifications_reviews;amenities_Internet;amenities_Freestreetparking;amenities_Family/kidfriendly;amenities_Firstaidkit;amenities_Fireextinguisher;amenities_Lockonbedroomdoor;amenities_Selfcheck-in;amenities_Keypad;amenities_Privateentrance;amenities_Bathtub;amenities_Luggagedropoffallowed;amenities_Longtermstaysallowed;host_verifications_kba;amenities_Safetycard;amenities_Hostgreetsyou;host_verifications_jumio;host_verifications_government_id;host_verifications_work_email;amenities_Paidparkingoffpremises;amenities_Doorman;amenities_Elevator;amenities_Patioorbalcony;amenities_Other;host_verifications_offline_government_id;host_verifications_selfie;host_verifications_identity_manual;amenities_Ethernetconnection;amenities_Singlelevelhome;amenities_Indoorfireplace;amenities_Wheelchairaccessible;amenities_Pool;amenities_Gym;amenities_Buildingstaff;amenities_Paidparkingonpremises;amenities_Petsallowed;amenities_Pack’nPlay/travelcrib;amenities_Breakfast;amenities_Petsliveonthisproperty;amenities_Lockbox;amenities_Buzzer/wirelessintercom;amenities_Smartlock;host_verifications_facebook;amenities_Gardenorbackyard;amenities_Waterfront;host_verifications_google;amenities_Washer/Dryer;amenities_Cleaningbeforecheckout;amenities_Dog(s);amenities_Cat(s);host_verifications_manual_offline;amenities_Privatelivingroom;amenities_Flatpathtofrontdoor;amenities_Well-litpathtoentrance;amenities_Step-freeaccess;amenities_Smokingallowed;amenities_Hottub;amenities_Hotwaterkettle;amenities_Widedoorway;amenities_Outletcovers;amenities_Highchair;amenities_Stairgates;amenities_Children’sbooksandtoys;amenities_Crib;amenities_Room-darkeningshades;amenities_Children’sdinnerware;amenities_Babysitterrecommendations;amenities_Gameconsole;amenities_BBQgrill;amenities_Roll-inshower;amenities_Disabledparkingspot;amenities_Lakeaccess;amenities_Beachessentials;amenities_Accessible-heightbed;amenities_Firmmattress;amenities_Otherpet(s);amenities_Wideclearancetobed;amenities_Bathtubwithbathchair;amenities_EVcharger;amenities_Suitableforevents;amenities_Widehallwayclearance;amenities_Accessible-heighttoilet;amenities_Wideentryway;amenities_Changingtable;amenities_Fireplaceguards;amenities_Babybath;amenities_Wideclearancetoshower;amenities_toilet;amenities_Electricprofilingbed;host_verifications_manual_online;amenities_;amenities_Handheldshowerhead;amenities_Windowguards;amenities_Pocketwifi;amenities_Babymonitor;amenities_Fixedgrabbarsforshower;host_verifications_weibo;amenities_Beachfront;host_verifications_sent_id;amenities_Showerchair;amenities_Privatebathroom;amenities_Ski-in/Ski-out;host_verifications_sesame;host_verifications_sesame_offline;amenities_Fixedgrabbarsfortoilet;amenities_Tablecornerguards;host_verifications_zhima_selfie;amenities_Poolwithpoolhoist;dist_to_center
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1228262400000000.0;0.0;1;4;4;1;0;42.36524120736776;-71.02936148859783;1;1.0;2;1.0;1.0;;125.0;750.0;2250.0;0.0;75.0;0.0;30;1125;14;99.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2328963404922955
0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1228262400000000.0;0.0;1;6;6;1;1;42.329808504236226;-71.09559469348262;1;1.0;2;1.0;1.0;225.0;145.0;980.0;3000.0;0.0;40.0;0.0;3;730;80;95.0;1;0;0;0;95.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.30566492842683
0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1228262400000000.0;0.0;1;6;6;1;1;42.329940605699676;-71.093505106791;1;1.0;4;1.0;2.0;;169.0;-1.0;-1.0;-1.0;70.0;8.0;3;730;85;97.0;1;0;0;0;94.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.079452080368752
0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1228262400000000.0;100.0;1;1;1;1;1;42.29243788665679;-71.13576525374667;1;1.0;2;1.0;1.0;;65.0;395.0;1350.0;0.0;0.0;30.0;3;60;75;98.0;0;0;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.985533064054463
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1228262400000000.0;0.0;0;11;11;1;0;42.35918691518732;-71.06265110707376;1;1.0;2;1.0;1.0;;99.0;1200.0;2900.0;1000.0;250.0;0.0;30;365;22;92.0;0;0;0;0;94.85714285714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48799013781417644
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1228262400000000.0;0.0;0;11;11;1;0;42.35849698264322;-71.06201144020238;1;1.0;2;1.0;1.0;;154.0;750.0;2900.0;1000.0;250.0;0.0;30;365;24;93.0;0;0;0;0;94.71428571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.41993848301457853
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1228262400000000.0;0.0;0;272;272;1;1;42.34259444459376;-71.07942070179357;1;1.0;2;;1.0;;229.0;-1.0;5136.0;-1.0;75.0;0.0;2;120;9;89.0;0;0;0;1;87.86363636363636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.442772266132978
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1228262400000000.0;0.0;0;272;272;1;1;42.34949627476548;-71.08595384961086;1;1.0;2;;1.0;;209.0;-1.0;3800.0;-1.0;-1.0;0.0;2;365;23;79.0;0;0;0;1;88.31818181818181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.110960321381955
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1228262400000000.0;0.0;0;272;272;1;1;42.3521485847148;-71.06330132541606;1;1.0;2;1.0;1.0;;389.0;-1.0;-1.0;-1.0;150.0;0.0;3;365;8;96.0;0;0;0;1;87.54545454545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6314690509742665
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1228262400000000.0;0.0;0;272;272;1;1;42.34337078514997;-71.09870840549256;1;1.0;3;1.0;1.0;;259.0;-1.0;5700.0;-1.0;150.0;0.0;4;365;3;90.0;0;0;0;1;87.91304347826087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.550802654155186
